Fecha,Gasto/Ingreso/Ahorro,Categoria,Subcategoria,Descripcion,Monto,,,Banco,Ubicación,Balance,Activos,,Categoria,Valor,,,,
6/3/2026,Gasto,Deuda,Pago,TC," $  1,673,369.60 ",,,,,,,,,,,,,
6/3/2026,Gasto,Personal,Terapia,Terapia," $  38,000.00 ",,,,,,,,,,,,,
6/3/2026,Gasto,Personal,Comida,Cocheros," $  20,500.00 ",,,,,,,,,,,,,
6/3/2026,Gasto,Personal,Retiro,Cajero," $  20,000.00 ",,,,,,,,,,,,,
6/3/2026,Gasto,Personal,Regalo,Laura," $  30,000.00 ",,,,,,,,,,,,,
7/3/2026,Gasto,Personal,Transferencia,Fulvo," $  15,800.00 ",,,,,,,,,,,,,
7/3/2026,Gasto,Personal,Madre,Recibos," $  379,450.00 ",,,,,,,,,,,,,
8/3/2026,Ingreso,Ahorro Lulo,Liquidez,Madre," $  400,000.00 ",,,,,,,,,,,,,
8/3/2026,Gasto,Personal,Transferencia,Fulvo," $  16,000.00 ",,,,,,,,,,,,,
8/3/2026,Gasto,Personal,Comida,Laura," $  17,000.00 ",,,,,,,,,,,,,
8/3/2026,Gasto,TC,Personal,Comida," $  36,435.00 ",,,,,,,,,,,,,
8/3/2026,Gasto,TC,Personal,Comida," $  44,900.00 ",,,,,,,,,,,,,
8/3/2026,Gasto,TC,Moto,Parqueadero," $  16,700.00 ",,,,,,,,,,,,,
8/3/2026,Gasto,TC,Personal,Ajuste," $  40,690.05 ",,,,,,,,,,,,,
8/3/2026,Ingreso,Personal,Ajuste,Descuadre," $  40,800.00 ",,,,,,,,,,,,,
8/3/2026,Gasto,TC,Moto,Parqueadero," $  8,400.00 ",,,,,,,,,,,,,
9/3/2026,Gasto,TC,Moto,SOAT," $  776,247.00 ",,,,,,,,,,,,,
9/3/2026,Gasto,TC,Personal,No idea," $  18,000.00 ",,,,,,,,,,,,,
11/3/2026,Gasto,Personal,Comida,Panadería ," $  12,500.00 ",,,,,,,,,,,,,
11/3/2026,Gasto,TC,Personal,Comida ," $  18,074.00 ",,,,,,,,,,,,,
12/3/2026,Gasto,Personal,Terapia,Terapia," $  38,000.00 ",,,,,,,,,,,,,
12/3/2026,Gasto,TC,Educación ,Platzi," $  197,240.72 ",,,,,,,,,,,,,
13/3/2026,Gasto,TC,Personal ,Comida," $  71,800.00 ",,,,,,,,,,,,,
